spec_id,study_name,doi,contact_name,contact_email,citation,type,averaged,method,phylum,class,order,family,genus,species,sub,patch,sex,country,latitude,longitude
S0000001,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000002,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000003,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000004,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000005,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000006,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000007,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000008,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000009,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
S0000010,White2012,10.1071/ZO12045,Thomas_E_White,thomas.white@sydney.edu.au,"White TE, Macedonia J, Birch D, Dawes J, Kemp DJ (2012) The nano-anatomical basis of sexual dimorphism in iridescent butterfly colouration. Australian Journal of Zoology 60(2), 101-107.",reflectance,no,"Oceanoptics USB2000. Iridescent, so measured at angle of peak reflectance.",Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,NA,NA,f,Australia,16.9,145.7
