wl,S0000001,S0000002,S0000003,S0000004,S0000005,S0000006,S0000007,S0000008,S0000009,S0000010,S0000011,S0000012,S0000013,S0000014,S0000015,S0000016,S0000017,S0000018,S0000019,S0000020,S0000021,S0000022,S0000023,S0000024,S0000025,S0000026,S0000027,S0000028,S0000029,S0000030,S0000031,S0000032,S0000033,S0000034,S0000035,S0000036,S0000037,S0000038,S0000039,S0000040,S0000041,S0000042,S0000043,S0000044,S0000045,S0000046,S0000047,S0000048,S0000049,S0000050,S0000051,S0000052,S0000053,S0000054,S0000055,S0000056,S0000057,S0000058,S0000059,S0000060,S0000061,S0000062,S0000063,S0000064,S0000065,S0000066,S0000067,S0000068,S0000069,S0000070,S0000071,S0000072,S0000073,S0000074,S0000075,S0000076,S0000077,S0000078,S0000079,S0000080,S0000081,S0000082,S0000083,S0000084,S0000085,S0000086,S0000087,S0000088,S0000089,S0000090,S0000091,S0000092,S0000093,S0000094,S0000095,S0000096,S0000097,S0000098,S0000099,S0000100,S0000101,S0000102,S0000103,S0000104,S0000105,S0000106,S0000107,S0000108,S0000109,S0000110,S0000111,S0000112,S0000113,S0000114,S0000115,S0000116,S0000117,S0000118,S0000119,S0000120,S0000121,S0000122,S0000123,S0000124,S0000125,S0000126,S0000127,S0000128,S0000129,S0000130,S0000131,S0000132,S0000133,S0000134,S0000135,S0000136,S0000137,S0000138,S0000139,S0000140,S0000141,S0000142,S0000143,S0000144,S0000145,S0000146,S0000147,S0000148,S0000149,S0000150,S0000151,S0000152,S0000153,S0000154,S0000155,S0000156,S0000157,S0000158,S0000159,S0000160,S0000161,S0000162,S0000163,S0000164,S0000165,S0000166,S0000167,S0000168,S0000169,S0000170,S0000171,S0000172,S0000173,S0000174,S0000175,S0000176,S0000177,S0000178,S0000179,S0000180
300,18.2336,23.2712,23.919,35.7588,23.6769,41.4997,30.8938,22.4676,27.1373,20.5667,23.9896,21.0028,27.714,29.9806,23.2361,23.5255,35.802,25.0415,26.8702,22.2065,24.3104,36.9094,26.996,19.7053,30.7806,45.4413,34.869,22.2031,27.3297,27.2201,28.5967,24.6239,37.6721,24.8643,33.3169,28.2041,35.5354,28.8552,30.5144,37.1803,29.076,25.8069,32.1824,23.8584,25.8781,23.503,25.4489,28.0123,29.1999,23.2529,24.2651,32.1069,32.3962,28.6002,26.1088,30.1895,33.7519,23.2715,28.1136,38.7955,5.799435908,5.133080401,5.303889277,5.422060026,5.593349648,5.134068775,4.978619517,7.642295272,5.314191469,5.062981245,5.168503086,5.118564907,5.919380689,5.131996833,5.204664368,5.262879089,5.330524086,5.272176558,5.298058587,5.861066781,5.088333287,5.21024314,5.149764393,10.4215278,5.652446456,5.498215666,2.434451321,9.578607865,6.097351353,10.31383692,7.559105498,4.333808974,8.594900313,1.714152154,1.719236933,1.439654221,7.850337157,3.536962312,5.767859356,1.683022836,2.447635645,11.26214514,2.698527534,2.10225811,8.742527053,2.475611153,2.938451642,8.359900796,4.4641381,4.646056769,3.398267643,5.051470264,2.52991521,10.19609884,5.202314949,2.47600008,5.880021227,7.408131585,10.20279069,8.54352094,4.808240898,6.368018263,4.49102915,1.844459866,1.799987668,4.727704113,7.732891062,8.279639591,15.32629543,3.653177738,3.67362659,12.86235928,5.342129562,4.83481463,6.108222019,4.700334004,12.58052089,2.946252544,3.295760639,2.251177849,0.765582703,0.677090472,0.996579595,1.151070582,1.902164993,0.230152952,4.2245133,8.359075073,6.6568856,11.52956585,2.310558647,4.558656345,3.378916799,2.753858976,3.863134384,3.68060294,3.685858429,7.062215315,5.335511578,3.287330912,5.609846727,6.462902435,4.618190928,4.669293249,6.001946958,5.867117981,5.130608242,2.638377378,9.806432133,3.489391019,3.85121381,1.832405167,6.093498145,3.377046942,3.445222694,9.511432679,1.817634251,4.630595734,5.410159353,6.792839701
301,18.54665,24.0767,24.29995,36.99385,24.2904,42.83635,31.8682,22.88255,28.0178,21.2764,24.81595,20.74165,28.63585,31.3112,24.15045,24.64235,37.25115,25.99135,27.9091,22.83855,25.19635,38.6126,28.0566,20.01875,32.17845,46.9675,36.3876,22.38695,28.2768,28.2002,29.61305,24.79325,39.35035,25.65185,34.99265,28.64945,37.0181,29.83545,32.0179,38.94015,30.61615,26.9722,33.2775,24.2716,27.1773,24.4644,26.5925,29.24135,30.2803,24.0033,25.44905,33.39335,33.3399,28.85105,26.63855,31.1479,35.5428,24.2777,29.6048,40.41155,5.777390019,5.143189422,5.328110157,5.404485818,5.565301717,5.144410944,4.986197136,7.613599264,5.339235019,5.062390266,5.162857117,5.113769882,5.885950694,5.142138093,5.222465033,5.282410521,5.356811948,5.293969999,5.317870546,5.823878551,5.094966696,5.200159899,5.141853372,10.32988909,5.675740647,5.527030916,2.477741013,9.537643587,6.090444096,10.30813846,7.506463859,4.346400366,8.639432151,1.752359254,1.763391973,1.462466245,7.837340504,3.525849287,5.788141925,1.700411167,2.457612869,11.22641585,2.741193131,2.123043782,8.68385618,2.538113402,2.953398251,8.308358856,4.468949257,4.639735033,3.397193731,5.033080237,2.525440262,10.22366155,5.234909405,2.483448768,5.87935724,7.391119712,10.19193852,8.500334567,4.800968014,6.384376514,4.539658213,1.889904863,1.832955877,4.732199913,7.684072693,8.228286262,15.30738958,3.655726792,3.68142826,12.8510448,5.359585405,4.80775492,6.08659708,4.709745947,12.5699617,2.976496096,3.325706575,2.318378268,0.849489762,0.77511079,1.094353918,1.231676709,2.034894021,0.388049441,4.228966596,8.431589593,6.700657437,11.45192507,2.302716876,4.559764736,3.389063198,2.753722509,3.844594349,3.677235864,3.695188818,7.094801131,5.348981544,3.285020187,5.640303476,6.44295612,4.673769618,4.723231943,5.978916887,5.847257608,5.149011539,2.654623386,9.757956618,3.483013814,3.880897749,1.866338644,6.099441169,3.386813294,3.480482844,9.542256322,1.814740956,4.65725492,5.442533406,6.778768179
302,18.98252381,25.00180952,24.82090476,38.1772381,25.05619048,44.08219048,32.85004762,23.29638095,29.14895238,22.02557143,25.85609524,20.45766667,29.83785714,32.81061905,25.21580952,25.89109524,38.87861905,26.98352381,28.98580952,23.55780952,26.24419048,40.408,29.21609524,20.42328571,33.72166667,48.52004762,37.93247619,22.79261905,29.331,29.25561905,30.61833333,25.0507619,41.20771429,26.58990476,36.65642857,29.32204762,38.54580952,30.94947619,33.71319048,40.8652381,32.224,28.20195238,34.55752381,24.96409524,28.49828571,25.53638095,27.87442857,30.74071429,31.69061905,25,26.79119048,34.80180952,34.40657143,29.16066667,27.22247619,32.23904762,37.54233333,25.37571429,31.30604762,42.39761905,5.755735782,5.153450529,5.352759087,5.38751366,5.538410862,5.154915363,4.993954165,7.584964208,5.36472105,5.062042638,5.157660868,5.109637817,5.853210412,5.15243658,5.239861299,5.301491088,5.383568048,5.31614168,5.338114723,5.787671571,5.101695939,5.190614178,5.134475241,10.23903051,5.698455231,5.555171172,2.52002585,9.497057449,6.083225721,10.30252054,7.454144708,4.358367498,8.682654514,1.789741467,1.806493838,1.484700507,7.823921874,3.514697788,5.807732212,1.717291243,2.467340937,11.19043784,2.782781294,2.143297424,8.62561705,2.599088074,2.967721897,8.257135552,4.473420809,4.63307183,3.395946643,5.014614308,2.520934231,10.25028876,5.266649024,2.490580643,5.878456777,7.374056057,10.18095989,8.457570743,4.793382777,6.399954516,4.587140118,1.934355274,1.86508803,4.736199962,7.635483553,8.177164079,15.28812259,3.657794019,3.688677656,12.83985112,5.376822577,4.78095785,6.065200797,4.718935393,12.55952269,3.006195983,3.354858459,2.384205558,0.931760634,0.871246401,1.190484237,1.311175379,2.165798372,0.544135858,4.232963728,8.503101092,6.743561077,11.37460153,2.294895502,4.560460472,3.398762379,2.753374652,3.826031623,3.673505488,3.703861258,7.126540379,5.362099068,3.282623996,5.670210743,6.423081807,4.729412951,4.777352481,5.956512125,5.827934961,5.167582022,2.670265802,9.709729678,3.476446913,3.909736924,1.89932267,6.105191319,3.395943906,3.514777697,9.572360022,1.811835742,4.683442598,5.474342078,6.764701149
303,19.5836,26.1212,25.5256,39.4206,25.9516,45.5468,33.9358,23.9946,30.424,22.9786,26.9998,20.1452,31.1062,34.3988,26.2426,27.2438,40.6692,28.1648,30.1886,24.5252,27.3822,42.5892,30.5088,20.7646,35.4406,50.2264,39.683,23.2338,30.3988,30.3248,31.8242,25.536,43.266,27.75,38.6898,30.3254,40.1882,32.4214,35.74,43.151,34.3236,29.7558,35.9822,25.827,30.0766,26.8902,29.4326,32.6116,33.289,26.1988,28.394,36.6012,35.8318,29.6754,28.208,33.5776,39.9092,26.715,33.3014,44.7124,5.734463614,5.163876569,5.377842242,5.371187035,5.512736467,5.16559216,5.001916396,7.556381806,5.390655947,5.061957551,5.152944052,5.106197666,5.821162627,5.162903041,5.256842962,5.320115377,5.410799123,5.338697085,5.358802056,5.752508358,5.108531102,5.181638425,5.127660919,10.14893629,5.720593227,5.582635712,2.561289746,9.456830854,6.075681989,10.29696495,7.402150763,4.369686249,8.724533617,1.826267185,1.848515907,1.506335241,7.810057677,3.503483265,5.826600176,1.733640831,2.476803625,11.15419528,2.823262836,2.162996012,8.567814549,2.658449341,2.981400952,8.206226571,4.477546444,4.626053122,3.394528706,4.996052804,2.516379597,10.27595265,5.297495364,2.497386319,5.87730573,7.356922323,10.16983134,8.415232902,4.785470393,6.414724732,4.633443342,1.977781271,1.896357451,4.739682152,7.587121035,8.126268594,15.26847503,3.65935792,3.695350335,12.82878667,5.39382165,4.754410604,6.044019339,4.727894347,12.5492126,3.035386162,3.383242163,2.448702503,1.01243532,0.965540555,1.285031005,1.389633145,2.294984199,0.698582997,4.236467158,8.573600987,6.785585196,11.29760563,2.287075347,4.560706028,3.407982997,2.752796246,3.807423455,3.669385736,3.711845241,7.157419161,5.374855064,3.280114357,5.699545579,6.403355693,4.785258804,4.831786762,5.934715753,5.809135202,5.186456271,2.685282822,9.661740734,3.469674396,3.937700842,1.93131765,6.110706376,3.40441062,3.54808373,9.601738176,1.808905862,4.709139409,5.50556242,6.750618946
304,20.20385714,27.20714286,26.37328571,40.641,27.00314286,46.94085714,35.13557143,24.76685714,31.56071429,23.78571429,28.18042857,19.80471429,32.52728571,36.05728571,27.26571429,28.67385714,42.46071429,29.32371429,31.50871429,25.488,28.647,44.69171429,31.84971429,21.12228571,37.21371429,52.03057143,41.41842857,23.73742857,31.74314286,31.49314286,33.15385714,26.14085714,45.29914286,28.94014286,40.64614286,31.50357143,41.74471429,33.93685714,37.67042857,45.21385714,36.33442857,31.42314286,37.52214286,26.84557143,31.527,28.26457143,31.13685714,34.41928571,34.88871429,27.46642857,30.11571429,38.523,37.22642857,30.15185714,29.38085714,34.85157143,42.18714286,28.25971429,35.42028571,46.90642857,5.713563931,5.174480388,5.403365797,5.355549431,5.488337915,5.176451458,5.010109619,7.527843759,5.417046093,5.062154196,5.148736386,5.10347838,5.789810123,5.173548219,5.273399818,5.338277973,5.438511906,5.3616417,5.379943484,5.718451427,5.115482271,5.173265091,5.121441325,10.05959071,5.742157654,5.609423817,2.601516619,9.416945204,6.067798659,10.29145352,7.350484746,4.380332499,8.76503568,1.861904802,1.889431558,1.52734868,7.795724323,3.49218117,5.844715775,1.749437695,2.485984712,11.11767238,2.862608573,2.182116522,8.510453563,2.716111379,2.99441379,8.155627601,4.481319852,4.618664874,3.392942245,4.97737605,2.511758842,10.30062537,5.327409981,2.503856406,5.875889988,7.339700214,10.15852942,8.373324479,4.777216067,6.428659623,4.678536363,2.020153024,1.926737463,4.742624375,7.538982533,8.075595363,15.24842749,3.660396997,3.701421856,12.81785984,5.410563198,4.728100367,6.023038876,4.736614818,12.53904019,3.064100592,3.410883559,2.51191189,1.091553822,1.058036504,1.378054677,1.46711656,2.422557654,0.851561648,4.239439348,8.643080695,6.826718472,11.22094774,2.27923723,4.560463884,3.416693708,2.751968127,3.788747097,3.664850533,3.719110261,7.18742358,5.387240441,3.277463287,5.728285035,6.383853976,4.841445056,4.886666684,5.913510856,5.790843493,5.205770862,2.699652641,9.613979211,3.462680342,3.964759012,1.96228399,6.115944121,3.41218528,3.580377422,9.63038518,1.805938566,4.734325997,5.536171479,6.736501902
305,20.85425,28.164,27.2565,41.648,28.1375,48.331,36.363,25.45975,32.735,24.64425,29.31375,19.57925,33.85925,37.79375,28.2765,30.12025,44.0605,30.39625,32.867,26.5635,29.93075,46.58375,33.1535,21.5695,38.934,53.6135,42.83175,24.481,32.932,32.7305,34.51175,26.68675,47.2425,30.24475,42.4905,32.861,43.29325,35.5075,39.70525,47.2915,38.4205,32.998,38.7805,28.07475,33.04925,29.806,32.75875,36.2955,36.4555,28.75375,31.787,40.57925,38.6215,30.856,30.82875,36.20475,44.33275,29.94325,37.54575,48.9395,5.693027152,5.185274834,5.429335927,5.340644333,5.46527459,5.187503383,5.018559627,7.499341769,5.443897871,5.062651762,5.145067584,5.101508913,5.759155685,5.18438286,5.289521664,5.355973463,5.466713131,5.384981011,5.401549946,5.685563294,5.122559531,5.165526626,5.115847378,9.970977992,5.763151534,5.635534767,2.640690383,9.377381902,6.05956149,10.28596805,7.299149375,4.390282126,8.80412692,1.896622713,1.929214169,1.547719061,7.780898222,3.480766952,5.862048967,1.764659601,2.494867974,11.08085332,2.900789316,2.200635927,8.45353898,2.771988359,3.006738784,8.10533433,4.484734722,4.61089305,3.391189588,4.958564372,2.507054447,10.32427909,5.356354433,2.509981518,5.874195445,7.322371436,10.14703066,8.331848906,4.768605005,6.44173165,4.722387655,2.061440704,1.956201387,4.745004524,7.491065439,8.025139938,15.22796056,3.660889754,3.706867778,12.80707905,5.427027794,4.702014324,6.002245578,4.74508881,12.5290142,3.092373229,3.43780852,2.573876506,1.169156142,1.148777499,1.469615707,1.543692179,2.548624889,1.003242604,4.24184276,8.711531633,6.866949581,11.14463827,2.271361975,4.559696515,3.424863167,2.750871136,3.7699798,3.659873804,3.725625812,7.216539739,5.399246111,3.274642805,5.756406164,6.364652853,4.898109584,4.942124145,5.892880518,5.773044994,5.225662374,2.713353458,9.566434531,3.455448832,3.990880944,1.992182095,6.120862335,3.419239731,3.611635252,9.658295432,1.802921109,4.758983004,5.566146306,6.722330354
306,21.54133333,29.34438095,28.19642857,42.82271429,29.36119048,49.66219048,37.51319048,26.3417619,33.96671429,25.35928571,30.4197619,19.31214286,35.176,39.37409524,29.26714286,31.76952381,45.8042381,31.44619048,34.2907619,27.64466667,31.07538095,48.36,34.41395238,22.07033333,40.65942857,55.19504762,44.38771429,25.26290476,34.19685714,34.2237619,35.89471429,27.45647619,49.13695238,31.7167619,44.26257143,34.36804762,44.77228571,37.314,41.63509524,49.28090476,40.48414286,34.59509524,40.2882381,29.50928571,34.71419048,31.40209524,34.55538095,38.17052381,37.8412381,30.22104762,33.70842857,42.79661905,40.14261905,31.59185714,32.46295238,37.76971429,46.5902381,31.81014286,39.77461905,50.97085714,5.672843692,5.196272754,5.455758806,5.326515226,5.443605874,5.198758062,5.02729221,7.470867538,5.471217665,5.063469439,5.141967361,5.100318217,5.729202098,5.19541771,5.305198297,5.373196434,5.495409534,5.408720502,5.423632382,5.653906474,5.129772968,5.158455482,5.110909997,9.883082404,5.783577886,5.660967843,2.678794956,9.338122349,6.05095624,10.28049036,7.248147371,4.399511012,8.841773554,1.93038931,1.967837119,1.567424617,7.765555783,3.469216064,5.878569712,1.779284315,2.503437188,11.04372228,2.937775881,2.218531202,8.397075686,2.825994458,3.018354309,8.055342443,4.487784742,4.602723614,3.389273059,4.939598098,2.502248894,10.34688598,5.384290277,2.515752268,5.872207991,7.304917692,10.13531161,8.290809619,4.759622413,6.453913277,4.764965696,2.101614482,1.984722547,4.746800489,7.443367147,7.974897873,15.20705481,3.660814691,3.711663657,12.7964527,5.443196011,4.676139661,5.981625615,4.75330833,12.51914337,3.120238031,3.464042919,2.634639136,1.245282282,1.237806791,1.559774549,1.619426553,2.673292057,1.153796657,4.243639856,8.778945217,6.906267199,11.0686876,2.2634304,4.558366401,3.43246003,2.749486112,3.751098813,3.654429471,3.731361385,7.24475374,5.410862986,3.271624927,5.783886016,6.345828523,4.955390265,4.998291045,5.87280782,5.755724866,5.246267383,2.726363467,9.519096117,3.447963947,4.016036143,2.020972369,6.125418798,3.425545816,3.641833697,9.685463327,1.79984074,4.783091073,5.595463948,6.708084635
307,22.28215,30.5903,29.40805,43.973,30.63715,50.89385,38.54715,27.2625,35.1079,26.0443,31.58805,19.10455,36.60465,41.17825,30.1216,33.34385,47.3639,32.52965,35.6938,28.7874,32.4049,50.17825,35.6804,22.5218,42.42105,56.68325,45.962,26.0958,35.57705,35.6028,37.3885,28.26205,51.0946,33.30065,46.0921,36.24745,46.3708,39.272,43.6402,51.4477,42.73135,36.3355,41.71825,31.13525,36.3626,33.24115,36.31785,40.22895,39.51525,31.8068,35.8027,45.38005,41.72845,32.6031,34.3413,39.41395,48.81935,33.8646,42.04535,52.85355,5.653003969,5.207486996,5.48264061,5.313205597,5.423391152,5.210225618,5.03633316,7.442412767,5.499011857,5.064626417,5.139465432,5.099935246,5.699952145,5.206663513,5.320419513,5.38994147,5.524607848,5.432865661,5.446201729,5.623543484,5.137132668,5.152084109,5.106660099,9.795888192,5.803439731,5.685722325,2.715814254,9.299147948,6.041968669,10.27500227,7.197481454,4.407995034,8.8779418,1.963172988,2.005273787,1.586443582,7.749673416,3.457503955,5.894247968,1.793289602,2.511676132,11.00626348,2.973539082,2.235779324,8.341068567,2.878043848,3.029238736,8.00564763,4.490463603,4.594142531,3.387194984,4.920457552,2.497324663,10.36841818,5.411179069,2.521159266,5.869913517,7.287320686,10.1233488,8.250210051,4.750253495,6.465176964,4.806238962,2.14064453,2.012274265,4.747990165,7.395885049,7.924864722,15.18569085,3.660150311,3.715785053,12.78598922,5.459048423,4.650463562,5.961165158,4.761265385,12.50943646,3.147728956,3.489612627,2.694242568,1.319972243,1.32516763,1.648591657,1.694386237,2.79666531,1.303394599,4.244793097,8.845312865,6.944660003,10.99310613,2.255423328,4.556436017,3.43945295,2.747793892,3.732081387,3.64849146,3.736286475,7.272051687,5.422081976,3.268381671,5.810701643,6.327457182,5.013424976,5.055299283,5.853275848,5.738868271,5.267722469,2.738660865,9.471953392,3.440209766,4.040194121,2.048615218,6.129571291,3.431075379,3.670949236,9.711883262,1.796684714,4.806630846,5.624101457,6.693745079
308,23.04042857,31.69314286,30.46171429,44.8972381,32.01885714,52.32414286,39.54233333,27.995,36.27719048,26.76180952,32.83280952,18.85961905,37.9722381,42.83328571,31.00395238,34.8182381,48.81409524,33.49980952,37.15214286,30.07304762,33.60180952,51.82957143,36.90914286,23.06361905,44.06571429,58.03514286,47.35,27.03614286,36.9362381,36.9457619,38.78452381,29.11280952,52.88914286,34.82695238,47.85509524,38.143,47.90471429,41.07047619,45.43871429,53.542,44.94014286,38.06114286,43.20566667,32.84490476,37.9207619,34.9767619,38.24661905,42.30833333,41.22609524,33.40295238,37.71733333,47.82685714,43.22914286,33.62738095,36.2887619,40.88385714,50.92133333,36.06547619,44.37752381,54.72080952,5.6334984,5.218930406,5.509987512,5.300758931,5.404689806,5.221916178,5.045708268,7.413969159,5.527286832,5.066141887,5.137591511,5.100388953,5.671408611,5.218131014,5.335175109,5.406203159,5.554314809,5.457421972,5.469268928,5.594536839,5.144648716,5.146444956,5.103128605,9.709379606,5.822740089,5.709797493,2.751732192,9.2604401,6.032584536,10.26948557,7.147154342,4.415710072,8.912597877,1.99494214,2.041497551,1.604754192,7.733227531,3.445606077,5.909053693,1.806653226,2.519568581,10.96846108,3.008049732,2.252357266,8.285522511,2.928050703,3.03937044,7.956245578,4.492764993,4.585135764,3.384957691,4.901123062,2.492264236,10.38884787,5.436982367,2.526193126,5.867297916,7.269562123,10.11111877,8.210053636,4.740483459,6.475495174,4.84617593,2.178501018,2.038829865,4.748551443,7.348616539,7.875036038,15.16384925,3.658875117,3.719207523,12.775697,5.474565603,4.624973212,5.940850376,4.76895198,12.49990221,3.17487996,3.514543517,2.752729587,1.393266029,1.410903269,1.736127484,1.768637785,2.918850799,1.452207222,4.245264945,8.910625992,6.982116669,10.91790426,2.247321579,4.553867841,3.445810585,2.745775316,3.712904773,3.642033694,3.740370575,7.298419681,5.432893993,3.264885054,5.836830096,6.30961503,5.072351595,5.113280756,5.834267684,5.72246037,5.290164208,2.75022385,9.42499578,3.43217037,4.063324383,2.075071046,6.133277595,3.435800264,3.698958347,9.737549632,1.793440281,4.829582968,5.65203588,6.679292021
309,23.8812,32.9664,31.6232,45.733,33.3254,53.55,40.5046,28.8604,37.3454,27.4012,34.2034,18.757,39.5424,44.4362,31.8226,36.2012,50.2294,34.4916,38.7152,31.386,34.7942,53.4024,38.2122,23.6388,45.5776,59.2476,48.696,27.9806,38.345,38.3522,40.3122,30.246,54.7112,36.3712,49.428,40.156,49.5544,42.9292,47.2328,55.2922,47.0882,39.7498,44.7578,34.6152,39.4446,36.7014,40.0754,44.2554,42.9304,35.0346,39.6302,50.2608,44.8082,34.7196,38.417,42.3384,52.987,38.2278,46.6458,56.4596,5.614317402,5.230615832,5.537805689,5.289218714,5.38756122,5.233839868,5.055443325,7.385528413,5.556048973,5.068035037,5.136375314,5.101708289,5.643574281,5.229830959,5.349454882,5.421976086,5.584537151,5.482394921,5.492844916,5.566949055,5.152331198,5.141570475,5.100346432,9.623540898,5.841481979,5.733192626,2.786532687,9.221980209,6.022789599,10.26392209,7.097168757,4.422632006,8.945708,2.02566516,2.07648179,1.62233468,7.716194538,3.433497879,5.922956845,1.819352955,2.527098314,10.93029928,3.041278645,2.268242004,8.230442403,2.975929197,3.048727795,7.907131974,4.494682602,4.575689278,3.382563505,4.881574953,2.487050094,10.40814721,5.461661729,2.53084446,5.864347078,7.251623707,10.09859808,8.170343809,4.730297508,6.484840368,4.884745076,2.215154116,2.064362668,4.748462215,7.30155901,7.825407375,15.14151059,3.65696761,3.721906625,12.76558446,5.489728124,4.599655796,5.920667439,4.776360122,12.49054937,3.201725001,3.538861462,2.810142979,1.465203641,1.495056959,1.822442484,1.842247748,3.039954679,1.600405317,4.245017862,8.974876017,7.018625875,10.84309237,2.239105974,4.550624351,3.451501588,2.743411223,3.693546221,3.635030099,3.743583177,7.323843826,5.443289948,3.261107095,5.862248427,6.292378263,5.132307998,5.172367363,5.815766413,5.706486323,5.313729178,2.761030616,9.378212702,3.423829839,4.08539644,2.10030026,6.136495491,3.439692315,3.725837509,9.762456836,1.790094694,4.851928079,5.679244267,6.664705794
